County,County Code,Race,Race Code,Education,Death Rate
"Hillsborough County, FL",12057,Black or African American,2054-5,9th through 12th grade with no diploma,16.07
"Hillsborough County, FL",12057,Black or African American,2054-5,High school graduate or GED completed,14.21
"Hillsborough County, FL",12057,Black or African American,2054-5,"Some college credit, but not a degree",14.88
"Hillsborough County, FL",12057,Black or African American,2054-5,"Associate degree (AA, AS)",13.43
"Hillsborough County, FL",12057,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",8.8
"Hillsborough County, FL",12057,Black or African American,2054-5,Unknown/Not on certificate,102.47
"Lake County, FL",12069,Black or African American,2054-5,High school graduate or GED completed,20.44
"Lee County, FL",12071,Black or African American,2054-5,9th through 12th grade with no diploma,10.95
"Lee County, FL",12071,Black or African American,2054-5,High school graduate or GED completed,13.99
"Lee County, FL",12071,Black or African American,2054-5,"Some college credit, but not a degree",13.11
"Leon County, FL",12073,Black or African American,2054-5,High school graduate or GED completed,10.34
"Leon County, FL",12073,Black or African American,2054-5,"Some college credit, but not a degree",9.56
"Manatee County, FL",12081,Black or African American,2054-5,9th through 12th grade with no diploma,15.08
"Manatee County, FL",12081,Black or African American,2054-5,High school graduate or GED completed,15.72
"Marion County, FL",12083,Black or African American,2054-5,9th through 12th grade with no diploma,14.42
"Marion County, FL",12083,Black or African American,2054-5,High school graduate or GED completed,16.45
"Marion County, FL",12083,Black or African American,2054-5,"Some college credit, but not a degree",11.18
"Miami-Dade County, FL",12086,Black or African American,2054-5,8th grade or less,15.01
"Miami-Dade County, FL",12086,Black or African American,2054-5,9th through 12th grade with no diploma,11.99
"Miami-Dade County, FL",12086,Black or African American,2054-5,High school graduate or GED completed,9.23
"Miami-Dade County, FL",12086,Black or African American,2054-5,"Some college credit, but not a degree",7.59
"Miami-Dade County, FL",12086,Black or African American,2054-5,"Associate degree (AA, AS)",7.83
"Miami-Dade County, FL",12086,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",6.87
"Miami-Dade County, FL",12086,Black or African American,2054-5,"Master's degree (MA, MS)",6.88
"Miami-Dade County, FL",12086,Black or African American,2054-5,Unknown/Not on certificate,85.25
"Orange County, FL",12095,Black or African American,2054-5,9th through 12th grade with no diploma,12.25
"Orange County, FL",12095,Black or African American,2054-5,High school graduate or GED completed,10.92
"Orange County, FL",12095,Black or African American,2054-5,"Some college credit, but not a degree",11.55
"Orange County, FL",12095,Black or African American,2054-5,"Associate degree (AA, AS)",10.75
"Orange County, FL",12095,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",8.22
"Orange County, FL",12095,Black or African American,2054-5,"Master's degree (MA, MS)",8.54
"Orange County, FL",12095,Black or African American,2054-5,Unknown/Not on certificate,121.09
"Palm Beach County, FL",12099,Black or African American,2054-5,8th grade or less,8.02
"Palm Beach County, FL",12099,Black or African American,2054-5,9th through 12th grade with no diploma,10.95
"Palm Beach County, FL",12099,Black or African American,2054-5,High school graduate or GED completed,9.73
"Palm Beach County, FL",12099,Black or African American,2054-5,"Some college credit, but not a degree",6.7
"Palm Beach County, FL",12099,Black or African American,2054-5,"Associate degree (AA, AS)",8.1
"Palm Beach County, FL",12099,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",5.19
"Palm Beach County, FL",12099,Black or African American,2054-5,Unknown/Not on certificate,31.25
"Pasco County, FL",12101,Black or African American,2054-5,High school graduate or GED completed,9.98
"Pinellas County, FL",12103,Black or African American,2054-5,9th through 12th grade with no diploma,15.51
"Pinellas County, FL",12103,Black or African American,2054-5,High school graduate or GED completed,12.66
"Pinellas County, FL",12103,Black or African American,2054-5,"Some college credit, but not a degree",12.39
"Pinellas County, FL",12103,Black or African American,2054-5,"Associate degree (AA, AS)",14.1
"Pinellas County, FL",12103,Black or African American,2054-5,Unknown/Not on certificate,53.25
"Polk County, FL",12105,Black or African American,2054-5,9th through 12th grade with no diploma,10.1
"Polk County, FL",12105,Black or African American,2054-5,High school graduate or GED completed,12.75
"Polk County, FL",12105,Black or African American,2054-5,"Some college credit, but not a degree",11.92
"Polk County, FL",12105,Black or African American,2054-5,"Associate degree (AA, AS)",10.81
"Polk County, FL",12105,Black or African American,2054-5,Unknown/Not on certificate,200
"St. Lucie County, FL",12111,Black or African American,2054-5,High school graduate or GED completed,9.69
"Sarasota County, FL",12115,Black or African American,2054-5,High school graduate or GED completed,7.3
"Seminole County, FL",12117,Black or African American,2054-5,9th through 12th grade with no diploma,21.2
"Seminole County, FL",12117,Black or African American,2054-5,High school graduate or GED completed,11.05
"Seminole County, FL",12117,Black or African American,2054-5,"Some college credit, but not a degree",7.58
"Seminole County, FL",12117,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",12.4
"Volusia County, FL",12127,Black or African American,2054-5,9th through 12th grade with no diploma,12.77
"Volusia County, FL",12127,Black or African American,2054-5,High school graduate or GED completed,13.17
"Volusia County, FL",12127,Black or African American,2054-5,"Some college credit, but not a degree",10
"Unidentified Counties, FL",12999,Black or African American,2054-5,8th grade or less,15.52
"Unidentified Counties, FL",12999,Black or African American,2054-5,9th through 12th grade with no diploma,14.18
"Unidentified Counties, FL",12999,Black or African American,2054-5,High school graduate or GED completed,12.1
"Unidentified Counties, FL",12999,Black or African American,2054-5,"Some college credit, but not a degree",11.23
"Unidentified Counties, FL",12999,Black or African American,2054-5,"Associate degree (AA, AS)",11.41
"Unidentified Counties, FL",12999,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",9.65
"Unidentified Counties, FL",12999,Black or African American,2054-5,"Master's degree (MA, MS)",8.98
"Unidentified Counties, FL",12999,Black or African American,2054-5,Unknown/Not on certificate,37.29
"Chatham County, GA",13051,Black or African American,2054-5,9th through 12th grade with no diploma,17.62
"Chatham County, GA",13051,Black or African American,2054-5,High school graduate or GED completed,12.99
