,Area name,GEOID,Race,Race Code,Education,Death Rate
188,Orange County,12095,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",8.22
189,Orange County,12095,Black or African American,2054-5,"Master's degree (MA, MS)",8.54
190,Orange County,12095,Black or African American,2054-5,Unknown/Not on certificate,121.09
191,Palm Beach County,12099,Black or African American,2054-5,8th grade or less,8.02
192,Palm Beach County,12099,Black or African American,2054-5,9th through 12th grade with no diploma,10.95
193,Palm Beach County,12099,Black or African American,2054-5,High school graduate or GED completed,9.73
194,Palm Beach County,12099,Black or African American,2054-5,"Some college credit, but not a degree",6.7
195,Palm Beach County,12099,Black or African American,2054-5,"Associate degree (AA, AS)",8.1
196,Palm Beach County,12099,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",5.19
197,Palm Beach County,12099,Black or African American,2054-5,Unknown/Not on certificate,31.25
198,Pasco County,12101,Black or African American,2054-5,High school graduate or GED completed,9.98
199,Pinellas County,12103,Black or African American,2054-5,9th through 12th grade with no diploma,15.51
200,Pinellas County,12103,Black or African American,2054-5,High school graduate or GED completed,12.66
201,Pinellas County,12103,Black or African American,2054-5,"Some college credit, but not a degree",12.39
202,Pinellas County,12103,Black or African American,2054-5,"Associate degree (AA, AS)",14.1
203,Pinellas County,12103,Black or African American,2054-5,Unknown/Not on certificate,53.25
204,Polk County,12105,Black or African American,2054-5,9th through 12th grade with no diploma,10.1
205,Polk County,12105,Black or African American,2054-5,High school graduate or GED completed,12.75
206,Polk County,12105,Black or African American,2054-5,"Some college credit, but not a degree",11.92
207,Polk County,12105,Black or African American,2054-5,"Associate degree (AA, AS)",10.81
208,Polk County,12105,Black or African American,2054-5,Unknown/Not on certificate,200
209,St. Lucie County,12111,Black or African American,2054-5,High school graduate or GED completed,9.69
210,Sarasota County,12115,Black or African American,2054-5,High school graduate or GED completed,7.3
211,Seminole County,12117,Black or African American,2054-5,9th through 12th grade with no diploma,21.2
212,Seminole County,12117,Black or African American,2054-5,High school graduate or GED completed,11.05
213,Seminole County,12117,Black or African American,2054-5,"Some college credit, but not a degree",7.58
214,Seminole County,12117,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",12.4
215,Volusia County,12127,Black or African American,2054-5,9th through 12th grade with no diploma,12.77
216,Volusia County,12127,Black or African American,2054-5,High school graduate or GED completed,13.17
217,Volusia County,12127,Black or African American,2054-5,"Some college credit, but not a degree",10
218,Unidentified Counties,12999,Black or African American,2054-5,8th grade or less,15.52
219,Unidentified Counties,12999,Black or African American,2054-5,9th through 12th grade with no diploma,14.18
220,Unidentified Counties,12999,Black or African American,2054-5,High school graduate or GED completed,12.1
221,Unidentified Counties,12999,Black or African American,2054-5,"Some college credit, but not a degree",11.23
222,Unidentified Counties,12999,Black or African American,2054-5,"Associate degree (AA, AS)",11.41
223,Unidentified Counties,12999,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",9.65
224,Unidentified Counties,12999,Black or African American,2054-5,"Master's degree (MA, MS)",8.98
225,Unidentified Counties,12999,Black or African American,2054-5,Unknown/Not on certificate,37.29
226,Chatham County,13051,Black or African American,2054-5,9th through 12th grade with no diploma,17.62
227,Chatham County,13051,Black or African American,2054-5,High school graduate or GED completed,12.99
228,Chatham County,13051,Black or African American,2054-5,"Some college credit, but not a degree",9.74
229,Clayton County,13063,Black or African American,2054-5,High school graduate or GED completed,13.81
230,Clayton County,13063,Black or African American,2054-5,"Some college credit, but not a degree",8.08
231,Cobb County,13067,Black or African American,2054-5,9th through 12th grade with no diploma,13.52
232,Cobb County,13067,Black or African American,2054-5,High school graduate or GED completed,10.39
233,Cobb County,13067,Black or African American,2054-5,"Some college credit, but not a degree",9.39
234,Cobb County,13067,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",9.23
235,Cobb County,13067,Black or African American,2054-5,"Master's degree (MA, MS)",7.54
236,Cobb County,13067,Black or African American,2054-5,Unknown/Not on certificate,22.29
237,Cobb County,13067,Black or African American,2054-5,Excluded,11.92
238,DeKalb County,13089,Black or African American,2054-5,9th through 12th grade with no diploma,9.51
239,DeKalb County,13089,Black or African American,2054-5,High school graduate or GED completed,10.03
240,DeKalb County,13089,Black or African American,2054-5,"Some college credit, but not a degree",7.61
241,DeKalb County,13089,Black or African American,2054-5,"Associate degree (AA, AS)",7.69
242,DeKalb County,13089,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",7.69
243,DeKalb County,13089,Black or African American,2054-5,"Master's degree (MA, MS)",6.53
